protein_external_id	preferred_name	protein_size	annotation
7668.SPU_000072-tr	SPU_000072-tr	217	Uncharacterized protein
7668.SPU_000073-tr	LOC579511	608	Uncharacterized protein
7668.SPU_000074-tr	LOC579138	322	Uncharacterized protein
7668.SPU_000075-tr	LOC578258	508	Methionine aminopeptidase 2; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
7668.SPU_000076-tr	LOC578952	572	Uncharacterized protein
7668.SPU_000077-tr	LOC579085	273	Uncharacterized protein
7668.SPU_000078-tr	SPU_000078-tr	404	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_000079-tr	SPU_000079-tr	399	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_000080-tr	SPU_000080-tr	228	Uncharacterized protein
7668.SPU_000081-tr	SPU_000081-tr	454	Uncharacterized protein
7668.SPU_000082-tr	SPU_000082-tr	3104	ATP-dependent DNA helicase; Belongs to the helicase family
7668.SPU_000083-tr	SPU_000083-tr	236	Uncharacterized protein
7668.SPU_000084-tr	LOC588686	947	Uncharacterized protein
7668.SPU_000085-tr	SPU_000085-tr	208	Uncharacterized protein
7668.SPU_000086-tr	SPU_000086-tr	185	Uncharacterized protein
7668.SPU_000087-tr	SPU_000087-tr	478	Uncharacterized protein
7668.SPU_000088-tr	SPU_000088-tr	135	Uncharacterized protein
7668.SPU_000089-tr	SPU_000089-tr	107	Uncharacterized protein
7668.SPU_000090-tr	SPU_000090-tr	573	Uncharacterized protein
7668.SPU_000091-tr	SPU_000091-tr	333	Uncharacterized protein
7668.SPU_000092-tr	LOC582440	889	Uncharacterized protein
7668.SPU_000093-tr	H2B	123	Histone H2B, embryonic; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
7668.SPU_000094-tr	SPU_000094-tr	737	Uncharacterized protein
7668.SPU_000095-tr	SPU_000095-tr	91	Uncharacterized protein
7668.SPU_000096-tr	SPU_000096-tr	361	Uncharacterized protein
7668.SPU_000097-tr	SPU_000097-tr	124	Uncharacterized protein
7668.SPU_000098-tr	SPU_000098-tr	910	Uncharacterized protein
7668.SPU_000099-tr	SPU_000099-tr	28	Uncharacterized protein
7668.SPU_000100-tr	SPU_000100-tr	356	Uncharacterized protein
7668.SPU_000101-tr	LOC762563	1271	Uncharacterized protein
7668.SPU_000102-tr	SPU_000102-tr	201	Uncharacterized protein; Belongs to the protein kinase superfamily
7668.SPU_000103-tr	SPU_000103-tr	133	Uncharacterized protein
7668.SPU_000104-tr	SPU_000104-tr	515	Uncharacterized protein
7668.SPU_000105-tr	LOC590385	943	Mitogen-activated protein kinase kinase kinase
7668.SPU_000106-tr	SPU_000106-tr	91	Uncharacterized protein
7668.SPU_000107-tr	SPU_000107-tr	138	Uncharacterized protein
7668.SPU_000108-tr	SPU_000108-tr	135	Uncharacterized protein
7668.SPU_000109-tr	SPU_000109-tr	54	Uncharacterized protein
7668.SPU_000110-tr	SPU_000110-tr	164	Uncharacterized protein
7668.SPU_000111-tr	SPU_000111-tr	276	Uncharacterized protein
7668.SPU_000112-tr	SPU_000112-tr	103	Uncharacterized protein
7668.SPU_000113-tr	SPU_000113-tr	283	Uncharacterized protein
7668.SPU_000114-tr	LOC588755	549	Uncharacterized protein
7668.SPU_000115-tr	SPU_000115-tr	87	Uncharacterized protein
7668.SPU_000116-tr	SPU_000116-tr	348	Uncharacterized protein; Belongs to the adenylyl cyclase class-4/guanylyl cyclase family
7668.SPU_000117-tr	LOC581605	604	Uncharacterized protein; Belongs to the adenylyl cyclase class-4/guanylyl cyclase family
7668.SPU_000118-tr	LOC581654	292	Uncharacterized protein
7668.SPU_000119-tr	SPU_000119-tr	53	Uncharacterized protein
7668.SPU_000120-tr	SPU_000120-tr	231	Uncharacterized protein
7668.SPU_000121-tr	SPU_000121-tr	453	Uncharacterized protein
7668.SPU_000122-tr	LOC576303	198	Uncharacterized protein
7668.SPU_000123-tr	SPU_000123-tr	161	Uncharacterized protein
7668.SPU_000124-tr	SPU_000124-tr	621	Uncharacterized protein
7668.SPU_000125-tr	SPU_000125-tr	252	Uncharacterized protein
7668.SPU_000126-tr	LOC763654	204	Uncharacterized protein
7668.SPU_000127-tr	usp3	474	Ubiquitinyl hydrolase 1
7668.SPU_000128-tr	SPU_000128-tr	242	Uncharacterized protein
7668.SPU_000129-tr	LOC576033	409	Uncharacterized protein
7668.SPU_000130-tr	SPU_000130-tr	266	Uncharacterized protein
7668.SPU_000131-tr	SPU_000131-tr	85	Uncharacterized protein
7668.SPU_000132-tr	SPU_000132-tr	83	Uncharacterized protein
7668.SPU_000133-tr	SPU_000133-tr	518	Uncharacterized protein
7668.SPU_000134-tr	SPU_000134-tr	117	Uncharacterized protein
7668.SPU_000135-tr	SPU_000135-tr	1491	Uncharacterized protein
7668.SPU_000136-tr	LOC578433	283	Uncharacterized protein
7668.SPU_000137-tr	LOC587263	139	Uncharacterized protein
7668.SPU_000138-tr	SPU_000138-tr	390	Uncharacterized protein
7668.SPU_000139-tr	LOC583553	125	Uncharacterized protein
7668.SPU_000140-tr	SPU_000140-tr	157	Uncharacterized protein
7668.SPU_000141-tr	SPU_000141-tr	716	Uncharacterized protein
7668.SPU_000142-tr	SPU_000142-tr	1391	Uncharacterized protein
7668.SPU_000143-tr	SPU_000143-tr	775	Uncharacterized protein
7668.SPU_000144-tr	nop58	535	Uncharacterized protein
7668.SPU_000145-tr	SPU_000145-tr	7941	annotation not available
7668.SPU_000146-tr	SPU_000146-tr	855	Uncharacterized protein
7668.SPU_000147-tr	SPU_000147-tr	200	Uncharacterized protein
7668.SPU_000148-tr	LOC581361	218	Uncharacterized protein
7668.SPU_000149-tr	SPU_000149-tr	168	Uncharacterized protein
7668.SPU_000150-tr	LOC763207	303	Uncharacterized protein
7668.SPU_000151-tr	cdk4	373	Uncharacterized protein; Belongs to the protein kinase superfamily
7668.SPU_000152-tr	SPU_000152-tr	1627	Uncharacterized protein
7668.SPU_000153-tr	LOC581909	608	Carboxylic ester hydrolase; Belongs to the type-B carboxylesterase/lipase family
7668.SPU_000154-tr	SPU_000154-tr	307	Uncharacterized protein
7668.SPU_000155-tr	SPU_000155-tr	252	Carboxylic ester hydrolase; Belongs to the type-B carboxylesterase/lipase family
7668.SPU_000156-tr	SPU_000156-tr	132	Uncharacterized protein
7668.SPU_000157-tr	SPU_000157-tr	2338	Uncharacterized protein
7668.SPU_000158-tr	SPU_000158-tr	178	Uncharacterized protein
7668.SPU_000159-tr	LOC590790	1511	Uncharacterized protein
7668.SPU_000160-tr	SPU_000160-tr	308	Uncharacterized protein
7668.SPU_000161-tr	SPU_000161-tr	269	Uncharacterized protein
7668.SPU_000162-tr	SPU_000162-tr	516	Uncharacterized protein
7668.SPU_000163-tr	LOC581563	281	Uncharacterized protein
7668.SPU_000164-tr	LOC581461	253	Uncharacterized protein
7668.SPU_000165-tr	SPU_000165-tr	279	Uncharacterized protein
7668.SPU_000166-tr	LOC764407	457	Uncharacterized protein
7668.SPU_000167-tr	LOC584671	249	Gamma-glutamylcyclotransferase; Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides
7668.SPU_000168-tr	rangap1	355	Uncharacterized protein
7668.SPU_000169-tr	SPU_000169-tr	1010	Uncharacterized protein
7668.SPU_000170-tr	LOC582799	852	Uncharacterized protein
7668.SPU_000171-tr	SPU_000171-tr	193	Uncharacterized protein
7668.SPU_000172-tr	LOC582738	442	Uncharacterized protein
7668.SPU_000173-tr	LOC582706	380	Uncharacterized protein
7668.SPU_000174-tr	LOC582642	379	Uncharacterized protein
7668.SPU_000175-tr	LOC578661	407	Uncharacterized protein
7668.SPU_000176-tr	SPU_000176-tr	1441	Uncharacterized protein
7668.SPU_000177-tr	SPU_000177-tr	562	Uncharacterized protein; Belongs to the peptidase S8 family
7668.SPU_000178-tr	LOC580795	461	Serine/threonine protein phosphatase 2A regulatory subunit; Belongs to the phosphatase 2A regulatory subunit
7668.SPU_000179-tr	SPU_000179-tr	231	Uncharacterized protein
7668.SPU_000180-tr	SPU_000180-tr	358	Uncharacterized protein
7668.SPU_000181-tr	LOC589920	298	Uncharacterized protein; Belongs to the RNase T2 family
7668.SPU_000182-tr	SPU_000182-tr	410	Uncharacterized protein
7668.SPU_000183-tr	SPU_000183-tr	1313	Uncharacterized protein
7668.SPU_000184-tr	LOC576089	178	PRA1 family protein
7668.SPU_000185-tr	SPU_000185-tr	445	Uncharacterized protein
7668.SPU_000186-tr	SPU_000186-tr	788	Uncharacterized protein
7668.SPU_000187-tr	LOC575693	262	Uncharacterized protein
7668.SPU_000188-tr	LOC752443	296	Uncharacterized protein
7668.SPU_000189-tr	LOC575960	346	Phosphatidate cytidylyltransferase, mitochondrial; Catalyzes the formation of CDP-diacylglycerol (CDP-DAG) from phosphatidic acid (PA) in the mitochondrial inner membrane. Required for the biosynthesis of the dimeric phospholipid cardiolipin, which stabilizes supercomplexes of the mitochondrial respiratory chain in the mitochondrial inner membrane
7668.SPU_000190-tr	SPU_000190-tr	103	Uncharacterized protein
7668.SPU_000191-tr	LOC581681	246	UMP-CMP kinase; Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
7668.SPU_000192-tr	LOC590844	218	Uncharacterized protein
7668.SPU_000193-tr	SPU_000193-tr	79	Uncharacterized protein
7668.SPU_000194-tr	SPU_000194-tr	933	Uncharacterized protein
7668.SPU_000195-tr	DYSF	740	Uncharacterized protein
7668.SPU_000196-tr	SPU_000196-tr	205	Uncharacterized protein
7668.SPU_000197-tr	LOC578480	310	Uncharacterized protein; Belongs to the AAA ATPase family
7668.SPU_000198-tr	SPU_000198-tr	150	Uncharacterized protein
7668.SPU_000199-tr	SPU_000199-tr	879	Uncharacterized protein; Belongs to the Toll-like receptor family
7668.SPU_000200-tr	SPU_000200-tr	64	Uncharacterized protein
7668.SPU_000201-tr	SPU_000201-tr	352	Uncharacterized protein
7668.SPU_000202-tr	LOC574628	807	Uncharacterized protein
7668.SPU_000203-tr	SPU_000203-tr	112	Uncharacterized protein
7668.SPU_000204-tr	SPU_000204-tr	135	Uncharacterized protein
7668.SPU_000205-tr	LOC588789	295	Mitochondrial GTPase 1; Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays mitochondrial GTPase activity
7668.SPU_000206-tr	SPU_000206-tr	278	Uncharacterized protein
7668.SPU_000207-tr	LOC582970	196	Uncharacterized protein
7668.SPU_000208-tr	LOC580689	1225	Uncharacterized protein
7668.SPU_000209-tr	SPU_000209-tr	108	Uncharacterized protein
7668.SPU_000210-tr	pola1	1264	DNA polymerase
7668.SPU_000211-tr	SPU_000211-tr	86	Uncharacterized protein
7668.SPU_000212-tr	SPU_000212-tr	1164	Uncharacterized protein
7668.SPU_000213-tr	LOC586174	168	Uncharacterized protein
7668.SPU_000214-tr	LOC583689	523	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family
7668.SPU_000215-tr	SPU_000215-tr	278	Uncharacterized protein
7668.SPU_000216-tr	SPU_000216-tr	1439	Uncharacterized protein
7668.SPU_000217-tr	SPU_000217-tr	1334	Uncharacterized protein
7668.SPU_000218-tr	SPU_000218-tr	410	Uncharacterized protein
7668.SPU_000219-tr	SPU_000219-tr	155	Uncharacterized protein
7668.SPU_000220-tr	LOC756810	102	Uncharacterized protein
7668.SPU_000221-tr	SPU_000221-tr	85	Uncharacterized protein
7668.SPU_000222-tr	LOC591777	245	Uncharacterized protein
7668.SPU_000223-tr	SPU_000223-tr	458	Uncharacterized protein
7668.SPU_000224-tr	SPU_000224-tr	157	Uncharacterized protein
7668.SPU_000225-tr	SPU_000225-tr	674	U3 small nucleolar ribonucleoprotein protein MPP10; Involved in nucleolar processing of pre-18S ribosomal RNA
7668.SPU_000226-tr	SPU_000226-tr	113	Uncharacterized protein
7668.SPU_000227-tr	LOC590617	421	Uncharacterized protein
7668.SPU_000228-tr	LOC586153	523	Uncharacterized protein
7668.SPU_000229-tr	SPU_000229-tr	439	Uncharacterized protein
7668.SPU_000230-tr	SPU_000230-tr	141	Uncharacterized protein
7668.SPU_000231-tr	SPU_000231-tr	157	Uncharacterized protein
7668.SPU_000232-tr	LOC590961	413	Uncharacterized protein
7668.SPU_000233-tr	SPU_000233-tr	283	Uncharacterized protein
7668.SPU_000234-tr	SPU_000234-tr	854	Uncharacterized protein
7668.SPU_000235-tr	SPU_000235-tr	126	Uncharacterized protein
7668.SPU_000236-tr	LOC581147	428	Isocitrate dehydrogenase [NADP]; Belongs to the isocitrate and isopropylmalate dehydrogenases family
7668.SPU_000237-tr	SPU_000237-tr	140	Uncharacterized protein
7668.SPU_000238-tr	LOC373342	205	Histone H1, early embryonic; Histones H1 are necessary for the condensation of nucleosome chains into higher-order structures
7668.SPU_000239-tr	SPU_000239-tr	176	Uncharacterized protein
7668.SPU_000240-tr	SPU_000240-tr	282	Uncharacterized protein; Belongs to the ubiquitin-conjugating enzyme family
7668.SPU_000241-tr	tln2	2631	Uncharacterized protein
7668.SPU_000242-tr	LOC579894	162	Uncharacterized protein
7668.SPU_000243-tr	LOC580071	997	Uncharacterized protein
7668.SPU_000244-tr	LOC586937	1044	Uncharacterized protein
7668.SPU_000245-tr	LOC585566	720	Uncharacterized protein
7668.SPU_000246-tr	SPU_000246-tr	405	Uncharacterized protein
7668.SPU_000247-tr	LOC589245	175	Uncharacterized protein
7668.SPU_000248-tr	SPU_000248-tr	120	Uncharacterized protein
7668.SPU_000249-tr	SPU_000249-tr	492	Uncharacterized protein
7668.SPU_000250-tr	LOC593118	307	Uncharacterized protein
7668.SPU_000251-tr	SPU_000251-tr	246	Uncharacterized protein
7668.SPU_000252-tr	LOC581328	2421	Uncharacterized protein
7668.SPU_000253-tr	SPU_000253-tr	283	Uncharacterized protein
7668.SPU_000254-tr	SPU_000254-tr	582	Uncharacterized protein
7668.SPU_000255-tr	LOC581160	724	Uncharacterized protein
7668.SPU_000256-tr	LOC581264	479	Uncharacterized protein
7668.SPU_000257-tr	RAB3GAP1	1051	Uncharacterized protein
7668.SPU_000258-tr	SPU_000258-tr	318	Uncharacterized protein
7668.SPU_000259-tr	LOC575143	303	Uncharacterized protein
7668.SPU_000260-tr	SPU_000260-tr	597	Phospholipase B-like; Putative phospholipase
7668.SPU_000261-tr	SPU_000261-tr	368	Uncharacterized protein
7668.SPU_000262-tr	SPU_000262-tr	475	Uncharacterized protein
7668.SPU_000263-tr	SPU_000263-tr	98	Uncharacterized protein
7668.SPU_000264-tr	SPU_000264-tr	688	Uncharacterized protein
7668.SPU_000265-tr	SPU_000265-tr	1268	Uncharacterized protein
7668.SPU_000266-tr	SPU_000266-tr	252	Uncharacterized protein
7668.SPU_000267-tr	SPU_000267-tr	1028	Uncharacterized protein
7668.SPU_000268-tr	LOC587512	789	Uncharacterized protein
7668.SPU_000269-tr	SPU_000269-tr	303	Uncharacterized protein
7668.SPU_000270-tr	SPU_000270-tr	506	Uncharacterized protein
7668.SPU_000271-tr	SPU_000271-tr	375	Uncharacterized protein
7668.SPU_000272-tr	SPU_000272-tr	153	Uncharacterized protein
7668.SPU_000273-tr	SPU_000273-tr	320	Uncharacterized protein
7668.SPU_000274-tr	SPU_000274-tr	139	Uncharacterized protein
7668.SPU_000275-tr	LOC583653	353	Uncharacterized protein
7668.SPU_000276-tr	LOC583610	437	Uncharacterized protein
7668.SPU_000277-tr	LOC583590	435	Uncharacterized protein
7668.SPU_000278-tr	LOC583566	891	Gamma-tubulin complex component
7668.SPU_000279-tr	SPU_000279-tr	219	Uncharacterized protein; Belongs to the cytochrome P450 family
7668.SPU_000280-tr	SPU_000280-tr	1131	Uncharacterized protein
7668.SPU_000281-tr	SPU_000281-tr	495	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
7668.SPU_000282-tr	SPU_000282-tr	465	Uncharacterized protein
7668.SPU_000283-tr	SPU_000283-tr	559	Uncharacterized protein
7668.SPU_000284-tr	SPU_000284-tr	189	Uncharacterized protein
7668.SPU_000285-tr	SPU_000285-tr	168	Uncharacterized protein
7668.SPU_000286-tr	LOC579843	205	Uncharacterized protein
7668.SPU_000287-tr	SPU_000287-tr	2043	Poly [ADP-ribose] polymerase
7668.SPU_000288-tr	SPU_000288-tr	293	Uncharacterized protein
7668.SPU_000289-tr	SPU_000289-tr	291	Uncharacterized protein
7668.SPU_000290-tr	SPU_000290-tr	389	Uncharacterized protein
7668.SPU_000291-tr	LOC594794	123	Uncharacterized protein
7668.SPU_000292-tr	LOC756584	183	Uncharacterized protein; Belongs to the class-I aminoacyl-tRNA synthetase family
7668.SPU_000293-tr	SPU_000293-tr	309	Uncharacterized protein
7668.SPU_000294-tr	SPU_000294-tr	193	Uncharacterized protein
7668.SPU_000295-tr	SPU_000295-tr	903	Uncharacterized protein
7668.SPU_000296-tr	adv	557	Uncharacterized protein
7668.SPU_000297-tr	SPU_000297-tr	889	Uncharacterized protein
7668.SPU_000298-tr	SPU_000298-tr	217	Uncharacterized protein
7668.SPU_000299-tr	LOC753988	271	Uncharacterized protein
7668.SPU_000300-tr	SPU_000300-tr	57	Uncharacterized protein
7668.SPU_000301-tr	LOC585277	377	Uncharacterized protein
7668.SPU_000302-tr	SPU_000302-tr	99	Uncharacterized protein
7668.SPU_000303-tr	LOC579752	142	Uncharacterized protein
7668.SPU_000304-tr	SPU_000304-tr	305	Uncharacterized protein; Belongs to the AAA ATPase family
7668.SPU_000305-tr	SPU_000305-tr	343	Uncharacterized protein
7668.SPU_000306-tr	SPU_000306-tr	123	Histone H2B, embryonic 
7668.SPU_000307-tr	SPU_000307-tr	136	Histone H3; Belongs to the histone H3 family
7668.SPU_000308-tr	LOC582939	666	Uncharacterized protein
7668.SPU_000309-tr	SPU_000309-tr	426	Uncharacterized protein
7668.SPU_000310-tr	SPU_000310-tr	1839	Uncharacterized protein
7668.SPU_000311-tr	LOC579706	1680	Uncharacterized protein
7668.SPU_000312-tr	SPU_000312-tr	467	Uncharacterized protein
7668.SPU_000313-tr	LOC752237	408	Uncharacterized protein
7668.SPU_000314-tr	LOC579326	576	Uncharacterized protein
7668.SPU_000315-tr	LOC579200	256	Uncharacterized protein
7668.SPU_000316-tr	SPU_000316-tr	998	Uncharacterized protein
7668.SPU_000317-tr	SPU_000317-tr	393	Carbohydrate sulfotransferase
7668.SPU_000318-tr	LOC752107	182	Uncharacterized protein
7668.SPU_000319-tr	SPU_000319-tr	153	Uncharacterized protein
7668.SPU_000320-tr	SPU_000320-tr	343	Uncharacterized protein
7668.SPU_000321-tr	SPU_000321-tr	207	Uncharacterized protein
7668.SPU_000322-tr	LOC579948	1145	Uncharacterized protein
7668.SPU_000323-tr	SPU_000323-tr	239	Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
7668.SPU_000324-tr	LOC591452	599	Uncharacterized protein
7668.SPU_000325-tr	SPU_000325-tr	476	Uncharacterized protein
7668.SPU_000326-tr	LOC754018	505	Uncharacterized protein
7668.SPU_000327-tr	SPU_000327-tr	1229	Uncharacterized protein
7668.SPU_000328-tr	LOC585134	409	Uncharacterized protein
7668.SPU_000329-tr	SPU_000329-tr	125	Uncharacterized protein
7668.SPU_000330-tr	SPU_000330-tr	1160	Uncharacterized protein
7668.SPU_000331-tr	SPU_000331-tr	137	Uncharacterized protein
7668.SPU_000332-tr	SPU_000332-tr	153	Uncharacterized protein
7668.SPU_000333-tr	SPU_000333-tr	689	Uncharacterized protein
7668.SPU_000334-tr	SPU_000334-tr	407	Elongation of very long chain fatty acids protein
7668.SPU_000335-tr	LOC589676	306	Uncharacterized protein
7668.SPU_000336-tr	SPU_000336-tr	290	Uncharacterized protein
7668.SPU_000337-tr	LOC580953	512	Uncharacterized protein
7668.SPU_000338-tr	LOC590707	187	Uncharacterized protein
7668.SPU_000339-tr	SPU_000339-tr	316	Uncharacterized protein
7668.SPU_000340-tr	SPU_000340-tr	402	Uncharacterized protein; Belongs to the G-protein coupled receptor 2 family
7668.SPU_000341-tr	SPU_000341-tr	597	Uncharacterized protein
7668.SPU_000342-tr	LOC577111	625	Uncharacterized protein
7668.SPU_000343-tr	SPU_000343-tr	184	Uncharacterized protein
7668.SPU_000344-tr	SPU_000344-tr	107	Uncharacterized protein
7668.SPU_000345-tr	LOC585003	855	Uncharacterized protein
7668.SPU_000346-tr	SPU_000346-tr	1244	Protein-tyrosine-phosphatase
7668.SPU_000347-tr	SPU_000347-tr	647	Uncharacterized protein
7668.SPU_000348-tr	SPU_000348-tr	78	Uncharacterized protein
7668.SPU_000349-tr	SPU_000349-tr	80	Uncharacterized protein
7668.SPU_000350-tr	SPU_000350-tr	233	Uncharacterized protein
7668.SPU_000351-tr	SPU_000351-tr	237	Uncharacterized protein
7668.SPU_000352-tr	SPU_000352-tr	147	Uncharacterized protein
7668.SPU_000353-tr	SPU_000353-tr	870	Uncharacterized protein
7668.SPU_000354-tr	LOC591069	101	Uncharacterized protein
7668.SPU_000355-tr	SPU_000355-tr	239	Uncharacterized protein
7668.SPU_000356-tr	SPU_000356-tr	508	Uncharacterized protein
7668.SPU_000357-tr	SPU_000357-tr	314	Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Glycine N-methyltransferase family
7668.SPU_000358-tr	SPU_000358-tr	321	Uncharacterized protein
7668.SPU_000359-tr	SPU_000359-tr	179	Uncharacterized protein
7668.SPU_000360-tr	SPU_000360-tr	295	Uncharacterized protein
7668.SPU_000361-tr	LOC587946	434	Uncharacterized protein
7668.SPU_000362-tr	LOC578844	4329	Uncharacterized protein
