NCBI scaffold number,mapped_start,mapped_stop
NW_022145609.1,36115733,36116775
NW_022145609.1,36115733,36116775
NW_022145598.1,16853190,16859599
NW_022145600.1,31497465,31506135
NW_022145606.1,42217853,42224592
NW_022145606.1,42196493,42197855
NW_022145613.1,35224768,35231112
NW_022145613.1,35311138,35314154
NW_022145613.1,35345163,35347909
NW_022145613.1,35345163,35347909
NW_022145613.1,35347093,35348361
NW_022145606.1,5142381,5143017
NW_022145597.1,5892576,5900567
NW_022145597.1,5698515,5702694
NW_022145597.1,5636628,5690353
NW_022145597.1,5635704,5683620
NW_022145600.1,4829949,4830762
NW_022145600.1,4832895,4834788
NW_022145600.1,4832895,4834788
NW_022145600.1,4862083,4864846
NW_022145600.1,4985318,4990532
NW_022145606.1,23844354,23846186
NW_022145603.1,13404519,13414641
NW_022145606.1,49648270,49650124
NW_022145606.1,49649384,49650005
NW_022145606.1,49648270,49649977
NW_022145606.1,49648270,49649712
NW_022145599.1,36273289,36284068
NW_022145599.1,36257523,36258162
NW_022145599.1,36226984,36228995
NW_022145570.1,4900752,4902804
NW_022145599.1,36212073,36215383
NW_022145570.1,4881179,4884775
NW_022145599.1,36212073,36215383
NW_022145570.1,4881179,4884775
NW_022145601.1,8697250,8712300
NW_022145601.1,8700143,8712300
NW_022145614.1,29858339,29860233
NW_022145614.1,29567241,29574203
NW_022145596.1,32342973,32352576
NW_022145596.1,32342973,32352576
NW_022145596.1,32342973,32352576
NW_022145610.1,15278153,15281537
NW_022145539.1,1536576,1543054
NW_022145610.1,15380193,15386749
NW_022145539.1,1451582,1458145
NW_022145610.1,15451292,15453886
NW_022145539.1,1388591,1391166
NW_022145610.1,15451292,15454052
NW_022145539.1,1388388,1391166
NW_022145610.1,15962169,15964293
NW_022145610.1,15968009,15969890
NW_022145539.1,1011786,1012886
NW_022145604.1,29035407,29038158
NW_022145534.1,449329,454229
NW_022145595.1,11688788,11690865
NW_022145595.1,11678198,11679365
NW_022145612.1,29460433,29464081
NW_022145595.1,25185996,25188216
NW_022145604.1,24310862,24314457
NW_022145610.1,2253302,2261928
NW_022145595.1,23589044,23595939
NW_022145595.1,23540304,23541495
NW_022145609.1,15856791,15889195
NW_022145609.1,15995394,15999810
NW_022145602.1,15115168,15119069
NW_022145602.1,15077296,15079528
NW_022145558.1,377249,379456
NW_022145602.1,15071886,15076110
NW_022145558.1,371573,376071
NW_022145596.1,10463886,10466324
NW_022145596.1,10136285,10139953
NW_022145596.1,10508810,10509930
NW_022145596.1,10171464,10174255
NW_022145596.1,10526674,10530138
NW_022145606.1,45682363,45686466
NW_022145560.1,186439,191995
NW_022145606.1,45611854,45613081
NW_022145560.1,114572,116000
NW_022145611.1,30585204,30587351
NW_022145595.1,1073654,1075332
NW_022145607.1,27830361,27834035
NW_022145607.1,27779625,27784645
NW_022145602.1,9855535,9858941
NW_022145602.1,9852212,9855249
NW_022145602.1,9833311,9835349
NW_022145594.1,44000565,44003873
NW_022145600.1,11152916,11164291
NW_022145600.1,11257940,11267846
NW_022145600.1,11257940,11269194
NW_022145600.1,11431387,11433419
NW_022145605.1,18707521,18743798
NW_022145605.1,18790337,18791922
NW_022145614.1,7000017,7002802
NW_022145614.1,7055969,7132341
NW_022145614.1,7055969,7132341
NW_022145614.1,7126239,7131911
NW_022145614.1,7126239,7131892
NW_022145610.1,26373385,26386717
NW_022145610.1,26257545,26278641
NW_022145610.1,26254517,26271742
NW_022145596.1,6145382,6146411
NW_022145596.1,3796668,3797690
NW_022145594.1,32201975,32204904
NW_022145567.1,157587,162394
NW_022145609.1,33104932,33127036
NW_022145609.1,33099021,33103901
NW_022145609.1,33094992,33098926
NW_022145609.1,33089022,33091025
NW_022145609.1,32994166,32998179
NW_022145609.1,32886163,32887249
NW_022145612.1,9315406,9317787
NW_022145612.1,9303700,9305672
NW_022145612.1,9304221,9304919
NW_022145612.1,9298075,9303577
NW_022145600.1,20646099,20649284
NW_022145600.1,20646276,20649284
NW_022145603.1,22175368,22251757
NW_022145603.1,22175368,22251757
NW_022145603.1,22244911,22245621
NW_022145613.1,37788000,37790314
NW_022145613.1,37628333,37632184
NW_022145613.1,37580106,37581496
NW_022145613.1,37377757,37382506
NW_022145607.1,25112415,25125240
NW_022145613.1,25733666,25737253
NW_022145613.1,25779198,25781510
NW_022145613.1,25868760,25871609
NW_022145612.1,669469,673835
NW_022145607.1,8765498,8769121
NW_022145607.1,9131223,9134066
NW_022145598.1,13752910,13762461
NW_022145598.1,13793786,13797194
NW_022145595.1,3939034,3942604
NW_022145611.1,14955924,14959464
NW_022145601.1,8661361,8665493
NW_022145601.1,8662118,8665016
NW_022145595.1,274132,280362
NW_022145595.1,274132,280362
NW_022145606.1,43343273,43345410
NW_022145614.1,14710366,14712039
NW_022145612.1,22531650,22533150
NW_022145611.1,3461756,3463575
NW_022145609.1,19173396,19174386
NW_022145609.1,5432138,5433670
NW_022145606.1,44064738,44066220
NW_022145600.1,6011491,6012728
NW_022145599.1,2867374,2868883
NW_022145598.1,22603265,22604764
NW_022145594.1,46179302,46180803
NW_022145600.1,6152252,6157269
NW_022145612.1,9962559,9993622
NW_022145612.1,9993797,9996892
NW_022145612.1,9993797,9996892
NW_022145612.1,9993797,9997694
NW_022145612.1,9993797,9997694
NW_022145606.1,3013189,3016020
NW_022145606.1,2968278,2998566
NW_022145606.1,916918,934211
NW_022145606.1,923843,934197
NW_022145606.1,916918,931620
NW_022145605.1,12737000,12838450
NW_022145556.1,98134,138029
NW_022145603.1,28454276,28456947
NW_022145603.1,28456238,28459030
NW_022145601.1,1278190,1291479
NW_022145601.1,1328699,1353554
NW_022145601.1,1358912,1373368
NW_022145601.1,1328699,1353554
NW_022145601.1,1358912,1373368
NW_022145601.1,1328699,1353554
NW_022145601.1,1358912,1373370
NW_022145601.1,1428042,1430639
NW_022145596.1,16105619,16106972
NW_022145596.1,16105656,16112554
NW_022145596.1,16105619,16112554
NW_022145596.1,16105619,16112554
NW_022145605.1,32954923,32956849
NW_022145607.1,13770024,13784970
NW_022145607.1,13770439,13784970
NW_022145607.1,13831631,13833954
NW_022145607.1,14103473,14106357
NW_022145607.1,14103473,14106357
NW_022145596.1,32036799,32037743
NW_022145599.1,22647191,22650424
NW_022145599.1,22651802,22656376
NW_022145605.1,9742652,9745119
NW_022145566.1,2341587,2345232
NW_022145609.1,4134145,4142623
NW_022145601.1,19592607,19599165
NW_022145595.1,18719291,18726147
NW_022145609.1,30514613,30516706
NW_022145609.1,30458319,30463439
NW_022145603.1,30262873,30265405
NW_022145598.1,25877693,25878729
NW_022145598.1,25893251,25895114
NW_022145603.1,19016195,19022384
NW_022145603.1,19016195,19022384
NW_022145607.1,13197013,13228157
NW_022145607.1,13197013,13228157
NW_022145607.1,13197009,13228157
NW_022145610.1,20788760,20797319
NW_022145548.1,25400,30057
NW_022145601.1,16688544,16691114
NW_022145594.1,43605441,43606304
NW_022145594.1,43587764,43593055
NW_022145597.1,31932697,31938206
NW_022145597.1,31932697,31938206
NW_022145601.1,25431342,25432394
NW_022145594.1,10603890,10643821
NW_022145594.1,10618941,10620894
NW_022145594.1,10618941,10620945
NW_022145594.1,10680765,10684136
NW_022145594.1,10680765,10689814
NW_022145607.1,6110066,6110484
NW_022145562.1,648187,648595
NW_022145595.1,19975573,19994332
NW_022145595.1,20110981,20111934
NW_022145604.1,32258540,32261838
NW_022145595.1,20110981,20114566
NW_022145595.1,20112498,20115676
NW_022145604.1,32258540,32261838
NW_022145595.1,20110982,20114566
NW_022145595.1,20112498,20115676
NW_022145604.1,32258540,32261838
NW_022145595.1,20110982,20114566
NW_022145595.1,20112498,20115676
NW_022145604.1,32258540,32261838
NW_022145595.1,20110983,20114566
NW_022145595.1,20112498,20115676
NW_022145595.1,20203114,20224846
NW_022145595.1,20203114,20224846
NW_022145595.1,20203126,20224846
NW_022145595.1,20203156,20224846
NW_022145595.1,20294052,20296908
NW_022145605.1,34323021,34332111
NW_022145597.1,28101012,28104385
NW_022145612.1,44737602,44738476
NW_022145544.1,1611208,1621009
NW_022145544.1,1723825,1727968
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44326282,44338079
NW_022145544.1,1776935,1789752
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44328097,44338079
NW_022145544.1,1776935,1787927
NW_022145612.1,44326282,44338079
NW_022145544.1,1776935,1789752
NW_022145612.1,44330517,44338079
NW_022145544.1,1777379,1787065
NW_022145612.1,44330517,44332264
NW_022145544.1,1784724,1787132
NW_022145606.1,47089453,47091064
NW_022145609.1,4175474,4176680
NW_022145607.1,29939184,29941000
NW_022145578.1,596524,597286
NW_022145614.1,8913271,8918024
NW_022145613.1,24904328,24910136
NW_022145613.1,24904328,24910106
NW_022145613.1,12215880,12218062
NW_022145613.1,12215880,12218259
NW_022145613.1,12215880,12218259
NW_022145613.1,12232588,12238104
NW_022145613.1,35374465,35377477
NW_022145603.1,2614647,2619178
NW_022145603.1,2614647,2616736
NW_022145596.1,7226305,7228337
NW_022145603.1,2524540,2526434
NW_022145603.1,2357162,2362726
NW_022145603.1,2357162,2362726
NW_022145603.1,2357162,2362726
NW_022145603.1,2357162,2362726
NW_022145611.1,7633442,7637073
NW_022145611.1,7633442,7637073
NW_022145611.1,7724504,7727241
NW_022145611.1,7724949,7727409
NW_022145611.1,7724949,7728870
NW_022145611.1,7724949,7728901
NW_022145611.1,7798230,7799960
NW_022145612.1,1085807,1101276
NW_022145615.1,12544447,12545252
NW_022145594.1,9711129,9713482
NW_022145602.1,6200554,6201287
NW_022145609.1,3353045,3355578
NW_022145550.1,1318254,1320886
NW_022145550.1,1321394,1324358
NW_022145605.1,25360907,25363233
NW_022145609.1,18047153,18049173
NW_022145609.1,17587572,17588591
NW_022145598.1,8393159,8395774
NW_022145612.1,28539479,28543777
NW_022145599.1,36071756,36076513
NW_022145570.1,4743670,4748422
NW_022145570.1,4743760,4747739
NW_022145603.1,21364119,21367460
NW_022145574.1,845380,848713
NW_022145603.1,21322313,21326960
NW_022145574.1,813516,818346
NW_022145574.1,779645,780422
NW_022145603.1,20711598,20713422
NW_022145574.1,280658,282422
NW_022145574.1,691538,693126
NW_022145598.1,21718255,21722904
NW_022145602.1,6781839,6783252
NW_022145602.1,6854186,6859328
NW_022145597.1,21120477,21122099
NW_022145597.1,19103321,19104817
NW_022145597.1,21121063,21122099
NW_022145597.1,19103321,19104242
NW_022145597.1,21121063,21122099
NW_022145597.1,19103321,19104242
NW_022145610.1,17064995,17067265
NW_022145610.1,17063590,17067265
NW_022145610.1,17436523,17440073
NW_022145607.1,38438380,38457515
NW_022145606.1,11032998,11054410
NW_022145598.1,24815111,24821034
NW_022145598.1,24815094,24821034
NW_022145598.1,36288885,36300046
NW_022145598.1,36285260,36288415
NW_022145598.1,36233694,36238739
NW_022145598.1,36089877,36092657
NW_022145613.1,16576303,16578154
NW_022145613.1,2153225,2155776
NW_022145613.1,2271795,2312133
NW_022145613.1,2285404,2307603
NW_022145613.1,2283241,2312133
NW_022145613.1,2285404,2307603
NW_022145613.1,2283687,2312133
NW_022145613.1,2285404,2307603
NW_022145613.1,2285404,2307603
NW_022145613.1,2285404,2307603
NW_022145595.1,11551564,11552806
NW_022145607.1,14174113,14180381
NW_022145607.1,14174113,14181969
NW_022145607.1,14174113,14184688
NW_022145606.1,46147070,46155402
NW_022145606.1,46159886,46162217
NW_022145560.1,664055,666488
NW_022145594.1,1913327,1919399
NW_022145612.1,51204816,51225365
NW_022145604.1,6080365,6082555
NW_022145604.1,6126050,6128251
NW_022145599.1,7715645,7726011
NW_022145599.1,7759385,7763624
NW_022145599.1,7770193,7785331
NW_022145599.1,7772353,7786629
NW_022145594.1,2245043,2254980
NW_022145613.1,29053689,29058371
NW_022145613.1,29168929,29172123
NW_022145613.1,29234285,29237924
NW_022145613.1,29610547,29669216
NW_022145613.1,29610547,29669216
NW_022145613.1,29617005,29669216
NW_022145613.1,29621489,29660857
NW_022145613.1,29621489,29669216
NW_022145613.1,29883010,29890584
NW_022145613.1,29962890,30078985
NW_022145575.1,77105,78199
NW_022145613.1,20207539,20209770
NW_022145606.1,40468579,40479985
NW_022145606.1,50176623,50180271
NW_022145606.1,50176623,50180271
NW_022145614.1,5024589,5026111
NW_022145605.1,27223162,27225459
NW_022145600.1,31131568,31133893
NW_022145600.1,31155905,31164134
NW_022145607.1,39965538,39968088
NW_022145604.1,20151271,20153825
NW_022145601.1,18732039,18734783
NW_022145607.1,39965538,39971544
NW_022145604.1,20151271,20155748
NW_022145601.1,18732039,18736515
NW_022145601.1,18737456,18748356
NW_022145601.1,18737901,18748356
NW_022145601.1,18737945,18748356
NW_022145606.1,21295170,21297546
NW_022145606.1,20374901,20376383
NW_022145596.1,30861563,30869318
NW_022145612.1,29831223,29834724
NW_022145612.1,29812418,29815162
NW_022145612.1,29680754,29684589
NW_022145612.1,29680754,29684518
NW_022145600.1,36042936,36045187
NW_022145600.1,36051040,36053651
NW_022145600.1,36132115,36136015
NW_022145600.1,36196058,36203887
NW_022145603.1,4507816,4510799
NW_022145603.1,4507816,4510799
NW_022145603.1,4667626,4669852
NW_022145612.1,14713934,14722015
NW_022145606.1,34654292,34662985
NW_022145563.1,166814,176881
NW_022145612.1,14713934,14722015
NW_022145606.1,34654899,34662985
NW_022145603.1,4696319,4702146
NW_022145599.1,8203815,8211321
NW_022145563.1,169718,176881
NW_022145613.1,38578335,38582175
NW_022145607.1,23890902,23893892
NW_022145597.1,27015302,27018390
NW_022145613.1,38576948,38582175
NW_022145613.1,38576948,38581448
NW_022145597.1,27013528,27018054
NW_022145597.1,27016157,27019999
NW_022145599.1,14544395,14552727
NW_022145599.1,14544417,14552727
NW_022145610.1,35030066,35033966
NW_022145603.1,20589483,20593812
NW_022145574.1,76208,79305
NW_022145614.1,14242784,14247860
NW_022145611.1,31941401,31944591
NW_022145610.1,16951038,16956430
NW_022145609.1,17423748,17428976
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15716749,15721827
NW_022145526.1,2318934,2323790
NW_022145606.1,15421244,15425558
NW_022145598.1,36964132,36967830
NW_022145595.1,5150916,5159005
NW_022145595.1,5150916,5159005
NW_022145595.1,5150916,5161011
NW_022145612.1,25239840,25242759
NW_022145566.1,1845234,1848150
NW_022145612.1,25196263,25204135
NW_022145605.1,720774,721350
NW_022145612.1,28439325,28439887
NW_022145612.1,28425986,28428014
NW_022145612.1,28418163,28423826
NW_022145612.1,28420858,28422396
NW_022145610.1,21333406,21337536
NW_022145548.1,548295,551241
NW_022145610.1,21333406,21337536
NW_022145548.1,548295,551241
NW_022145607.1,40104570,40109223
NW_022145615.1,24212578,24215408
NW_022145615.1,24837012,24839859
NW_022145607.1,23670707,23674937
NW_022145607.1,23670707,23674571
NW_022145607.1,23670707,23672887
NW_022145613.1,28070698,28076855
NW_022145606.1,15908537,15916948
NW_022145606.1,15908537,15917326
NW_022145606.1,15908537,15919204
NW_022145606.1,15926100,15941503
NW_022145606.1,15926214,15941503
NW_022145606.1,15927063,15941503
NW_022145606.1,15945956,15956132
NW_022145606.1,15945970,15956132
NW_022145606.1,15946209,15956132
NW_022145606.1,15953076,15958364
NW_022145606.1,15971835,15973488
NW_022145606.1,15978948,15982065
NW_022145611.1,24266967,24275195
NW_022145611.1,24272540,24275367
NW_022145612.1,23948031,23955505
NW_022145566.1,521706,529512
NW_022145612.1,24084521,24086566
NW_022145566.1,664917,667467
NW_022145612.1,24496781,24499185
NW_022145612.1,24499561,24501784
NW_022145566.1,1091828,1094053
NW_022145566.1,1104045,1113779
NW_022145566.1,1104045,1113779
NW_022145612.1,24572283,24573190
NW_022145595.1,16354622,16358222
NW_022145603.1,24097528,24106388
NW_022145598.1,981783,987689
NW_022145598.1,884632,895556
NW_022145598.1,774456,781244
NW_022145598.1,778058,780041
NW_022145576.1,2346218,2348187
NW_022145572.1,811002,811548
NW_022145598.1,34648795,34651018
NW_022145598.1,34571706,34574793
NW_022145611.1,13726929,13729042
NW_022145611.1,14485847,14487852
NW_022145519.1,371781,376091
NW_022145605.1,4097991,4104703
NW_022145605.1,4097991,4104703
NW_022145605.1,3991991,3994753
NW_022145607.1,32750821,32751978
NW_022145607.1,32750821,32754053
NW_022145610.1,5529594,5542659
NW_022145594.1,4358941,4360644
NW_022145609.1,11778857,11781353
NW_022145594.1,28340491,28341692
NW_022145612.1,55799126,55800493
NW_022145612.1,55746344,55795392
NW_022145612.1,55125766,55128123
NW_022145612.1,55053230,55056625
NW_022145612.1,55000625,55003311
NW_022145613.1,24502478,24503530
NW_022145607.1,1452746,1466588
NW_022145607.1,1452746,1466588
NW_022145609.1,36262799,36267080
NW_022145596.1,16608554,16613752
NW_022145594.1,570778,600889
NW_022145559.1,679238,716347
NW_022145609.1,21484822,21487391
NW_022145515.1,422741,425301
NW_022145614.1,22140962,22144045
NW_022145598.1,22921117,22924639
NW_022145598.1,22851315,22851923
NW_022145598.1,22851070,22851921
NW_022145598.1,22851315,22851913
NW_022145607.1,6435169,6438975
NW_022145607.1,6435169,6438975
NW_022145609.1,28498974,28499523
NW_022145609.1,28489228,28491710
NW_022145525.1,233992,235590
NW_022145602.1,18177025,18178759
NW_022145602.1,18177178,18178759
NW_022145602.1,18177138,18178759
NW_022145602.1,18177025,18178759
NW_022145602.1,18177025,18178759
NW_022145602.1,18130778,18131621
NW_022145602.1,18093164,18097459
NW_022145602.1,18082115,18083658
NW_022145602.1,18074535,18075661
NW_022145612.1,59986715,59992402
NW_022145615.1,10346238,10348550
NW_022145607.1,27518585,27523831
NW_022145607.1,27435055,27442913
NW_022145607.1,27438568,27442183
NW_022145607.1,30148797,30164413
NW_022145605.1,2535833,2540430
NW_022145605.1,2535833,2540310
NW_022145607.1,40144747,40149688
NW_022145607.1,40144858,40148832
NW_022145543.1,412263,413937
NW_022145613.1,35677978,35678909
NW_022145595.1,2642210,2646833
NW_022145598.1,11779362,11781396
NW_022145607.1,25268446,25293810
NW_022145607.1,25267184,25293810
NW_022145607.1,25267184,25293483
NW_022145607.1,25267184,25272871
NW_022145607.1,25148106,25152018
NW_022145607.1,24501511,24505479
NW_022145607.1,24450321,24457329
NW_022145596.1,22071100,22072215
NW_022145596.1,19857326,19858441
NW_022145607.1,4806794,4817816
NW_022145607.1,4806895,4817155
NW_022145607.1,4806841,4817155
NW_022145607.1,4806794,4817155
NW_022145607.1,4806794,4817155
NW_022145607.1,4806794,4817155
NW_022145607.1,4806841,4815665
NW_022145607.1,4806830,4815665
NW_022145607.1,4806665,4814985
NW_022145607.1,4798287,4814985
NW_022145607.1,4798287,4814985
NW_022145607.1,4806665,4810532
NW_022145607.1,4806662,4809924
NW_022145607.1,4800151,4803141
NW_022145607.1,4798888,4799628
NW_022145612.1,33812686,33841723
NW_022145612.1,33812686,33841733
NW_022145606.1,52294259,52299034
NW_022145606.1,52294259,52299034
NW_022145606.1,52313264,52319845
NW_022145612.1,41199222,41204678
NW_022145612.1,41199222,41204814
NW_022145612.1,41199222,41204814
NW_022145601.1,21983730,21989160
NW_022145601.1,21983730,21989160
NW_022145601.1,21165304,21168823
NW_022145601.1,21165304,21168823
NW_022145615.1,12038735,12041142
NW_022145615.1,12038735,12041142
NW_022145594.1,35550655,35553362
NW_022145594.1,35550655,35553362
NW_022145516.1,499899,501744
NW_022145610.1,32746772,32747150
NW_022145610.1,32747590,32750444
NW_022145612.1,5867314,5870940
NW_022145613.1,37897706,37903580
NW_022145613.1,37897706,37903580
NW_022145613.1,37897706,37903580
NW_022145613.1,24157267,24161997
NW_022145606.1,13962453,13967296
NW_022145615.1,26975872,26977933
NW_022145612.1,14678149,14680803
NW_022145606.1,13957545,13960346
NW_022145603.1,27203809,27206632
NW_022145595.1,9349384,9352178
NW_022145594.1,40342451,40344525
NW_022145514.1,107436,109243
NW_022145615.1,26976913,26977933
NW_022145612.1,14678149,14679911
NW_022145606.1,13957545,13959310
NW_022145603.1,27203809,27205618
NW_022145595.1,9349384,9351143
NW_022145594.1,40342451,40343482
NW_022145514.1,107436,109233
NW_022145606.1,13719848,13726455
NW_022145606.1,13860352,13863720
NW_022145526.1,714983,718355
NW_022145606.1,13719878,13726455
NW_022145606.1,13860352,13863720
NW_022145526.1,714983,718355
NW_022145526.1,662839,738399
NW_022145526.1,692483,736647
NW_022145526.1,663448,666023
NW_022145597.1,28757470,28766776
NW_022145603.1,13972056,13972967
NW_022145596.1,12219735,12222368
NW_022145596.1,12956715,12957754
NW_022145596.1,12958333,12961921
NW_022145603.1,28435120,28436381
NW_022145603.1,30495827,30496999
NW_022145603.1,27894359,27894865
NW_022145614.1,14583509,14588931
NW_022145605.1,3125360,3126920
NW_022145596.1,10813715,10814727
NW_022145604.1,7926000,7938018
NW_022145604.1,7926276,7935346
NW_022145604.1,7926276,7935346
NW_022145604.1,7926000,7937323
NW_022145614.1,28726972,28728938
NW_022145613.1,20640743,20641982
NW_022145598.1,20439440,20444276
NW_022145598.1,20305211,20307362
NW_022145598.1,20305211,20307362
NW_022145603.1,26179259,26181668
NW_022145603.1,26179259,26181668
